KIC,Period_days,Depth_ppm,Duration_hours,Epoch,SDE,kepid,label,koi_disposition,kepmag,teff,logg,radius
7345813,123.4713121,473.6062064,7.5,183.8981465,2.10181645,7345813,0,NONE,14.057,6227,4.457,1.018
12109421,84.70950373,408.7058754,7,170.9346685,2.097938148,12109421,0,NONE,13.454,6060,4.495,0.953
9836563,94.977088,103.4275687,6.5,183.8766028,2.041375466,9836563,1,CANDIDATE,12.788,6183,4.428,1.002
4939472,60.28179784,281.5809783,9,139.8455483,2.034670466,4939472,0,NONE,14.477,5278,4.593,0.775
8494617,137.1934294,673.7162248,8,183.8872836,1.992640938,8494617,1,CONFIRMED,13.578,5897,4.357,1.081
7597226,93.53634817,534.0205352,9,183.9083949,1.986867925,7597226,0,NONE,14.443,5701,4.571,0.796
7585207,82.16997127,76.83016277,9.5,147.9250878,1.963000016,7585207,0,NONE,11.593,5237,4.568,0.707
9597058,67.71468955,269.2123114,10,122.8303539,1.961890948,9597058,1,CONFIRMED,13.576,5408,4.624,0.696
6853029,68.5960502,329.0611094,9,183.9084153,1.944697784,6853029,0,NONE,13.562,6258,4.449,1.031
5736909,87.85705415,443.7812447,7.5,208.3765125,1.910406819,5736909,0,NONE,13.937,6079,4.09,1.51
8523328,84.70950373,274.3560234,11.5,171.0221152,1.878335039,8523328,0,NONE,13.588,5609,4.379,1.01
8301878,68.59650677,412.266204,6.5,183.8559792,1.877619605,8301878,1,CANDIDATE,14.18,5631,4.478,0.901
9519499,138.4381113,390.6709728,11,183.9349484,1.874838177,9519499,0,NONE,12.756,6099,4.125,1.486
7205717,68.5960502,245.4676548,7,183.8664351,1.870184899,7205717,1,CANDIDATE,14.01,5834,4.284,1.207
4543158,139.0737357,145.8039514,7,153.497979,1.867681501,4543158,0,NONE,12.213,6008,4.266,1.17
3543138,93.85786052,699.4895742,5,144.6376161,1.856666826,3543138,0,NONE,14.02,5955,4.52,0.91
4742888,56.44330768,200.7866896,7,170.9501042,1.837169657,4742888,0,NONE,13.472,6167,4.153,1.492
7352971,68.5960502,395.4841312,9.5,183.9187994,1.814521959,7352971,0,NONE,14.235,6099,4.444,0.954
7116234,68.5960502,434.9560578,7,183.8665835,1.805098626,7116234,0,NONE,14.388,5679,4.584,0.778
9703633,93.53899473,476.6289724,7.5,183.8769143,1.779060046,9703633,0,NONE,14.491,6194,4.457,1.02
9003423,60.66939617,244.1240613,6,189.4502262,1.767178568,9003423,0,NONE,14.463,6215,4.413,1.03
6949198,77.17220041,280.9596437,9.5,183.8977975,1.758006792,6949198,0,NONE,13.974,5959,4.549,0.856
11355925,79.73104961,207.3229049,10,170.8660289,1.749183892,11355925,1,CANDIDATE,14.225,5758,4.277,1.132
6208985,77.17220041,445.2790819,8,183.8665194,1.734855199,6208985,0,NONE,14.266,5098,4.509,0.803
8559152,83.08798434,398.6540807,10,183.9497822,1.707855957,8559152,1,CONFIRMED,13.539,5945,4.196,1.346
7610110,77.17220041,346.1288645,7,183.8664639,1.703633947,7610110,0,NONE,14.104,5585,4.338,1.05
9417931,80.34389341,127.5737372,8.5,183.8823388,1.689758247,9417931,1,CANDIDATE,13.574,6098,4.321,1.131
5941160,61.66588804,179.8040289,8.5,137.0233248,1.672365156,5941160,1,CONFIRMED,13.984,6053,4.242,1.277
11495513,86.84520008,104.6896595,14.5,184.6954696,1.652059178,11495513,0,NONE,12.861,6192,4.232,1.2
8894646,78.58120097,295.8839227,5,161.2828745,1.634483382,8894646,1,CANDIDATE,13.845,5839,4.337,1.082
12215240,93.5702097,379.3101129,9,162.4909126,1.633008879,12215240,0,NONE,14.158,5102,4.553,0.733
5095635,58.62696362,243.5889958,9.5,150.0229925,1.600074084,5095635,1,CANDIDATE,14.482,5883,4.53,0.892
5698009,58.80268353,323.5391563,7,183.8251213,1.536823886,5698009,0,NONE,14.429,5895,4.329,1.146
6107308,61.83317848,69.51770197,11,135.7270097,1.528742254,6107308,0,NONE,13.424,6100,4.17,1.421
10745115,61.84060465,199.1688779,5,134.4135346,1.515126835,10745115,0,NONE,12.36,6160,4.341,1.103
8648352,84.72024104,925.8114485,6.5,170.7545842,1.496470368,8648352,0,NONE,13.93,5684,4.027,1.604
3446746,106.9112374,192.4994689,7.5,153.4662428,1.493958131,3446746,1,CONFIRMED,13.435,5696,4.417,1.001
8888956,93.53837214,296.9985907,7,183.8513757,1.48900723,8888956,0,NONE,13.29,6038,4.089,1.652
7763491,93.54898346,306.8530123,5,161.4554334,1.484808533,7763491,0,NONE,13.169,6068,4.327,1.071
6768394,68.5960502,256.1009532,10,183.9292335,1.471092918,6768394,1,CONFIRMED,13.959,6200,4.16,1.448
10417251,84.70950373,212.1056893,8,170.9552375,1.455466811,10417251,0,NONE,13.085,6299,4.279,1.244
1719974,59.70334518,245.3203609,5,148.4351191,1.43958104,1719974,0,NONE,12.05,6129,4.468,0.801
8115701,87.86585151,694.2383281,8,384.0436121,1.422233149,8115701,0,NONE,14.329,6106,4.408,1.11
